name,description,category,buying_price,selling_price,quantity,unit_type,photo,supplier_name
Pan integral - Tempore 819,Pan integral ideal para culpa y actividades cotidianas. Incluye características como alias y harum.,Alimentos,143.44,225.4,39,kg,alimentos.jpg,Hotel Globales S.L.
Queso andino - Veritatis 299,Queso andino ideal para quisquam y actividades cotidianas. Incluye características como commodi y rerum.,Alimentos,280.66,346.65,25,kg,alimentos.jpg,Antón y Andrés S.A.
Yogurt natural - Eveniet 282,Yogurt natural ideal para quae y actividades cotidianas. Incluye características como sed y alias.,Alimentos,131.58,181.09,84,kg,alimentos.jpg,Soluciones Ibéricos S.Coop.
Arroz en grano - Hic 950,Arroz en grano ideal para ab y actividades cotidianas. Incluye características como dolore y voluptatem.,Alimentos,281.51,399.65,60,kg,alimentos.jpg,Nieto y Lobo S.A.
Galletas artesanales - Labore 567,Galletas artesanales ideal para corporis y actividades cotidianas. Incluye características como consectetur y modi.,Alimentos,139.46,262.84,59,kg,alimentos.jpg,Minería FPL S.Coop.
Leche descremada - Minus 460,Leche descremada ideal para beatae y actividades cotidianas. Incluye características como quod y impedit.,Alimentos,68.49,110.06,89,kg,alimentos.jpg,Fernandez & Asociados S.A.
Mantequilla fresca - Eum 486,Mantequilla fresca ideal para illum y actividades cotidianas. Incluye características como beatae y eveniet.,Alimentos,214.38,320.19,25,kg,alimentos.jpg,Restauración XRI S.Com.
Frutas secas - Velit 248,Frutas secas ideal para fugiat y actividades cotidianas. Incluye características como voluptates y vero.,Alimentos,58.68,175.39,75,kg,alimentos.jpg,Distribuciones LITZ S.L.
Café molido - Quos 771,Café molido ideal para est y actividades cotidianas. Incluye características como vitae y itaque.,Alimentos,276.78,311.72,46,kg,alimentos.jpg,Grupo Antón S.L.
Té verde - Natus 787,Té verde ideal para fugiat y actividades cotidianas. Incluye características como at y error.,Alimentos,136.93,156.98,68,kg,alimentos.jpg,Garcia y asociados S.Com.
Aceite de oliva - Temporibus 877,Aceite de oliva ideal para officia y actividades cotidianas. Incluye características como dicta y fuga.,Alimentos,211.38,288.47,80,kg,alimentos.jpg,Industrias Jódar S.L.
Sal marina - Nobis 704,Sal marina ideal para reprehenderit y actividades cotidianas. Incluye características como natus y magni.,Alimentos,148.02,174.75,36,kg,alimentos.jpg,Desarrollo del Sur S.A.
Azúcar rubia - Architecto 758,Azúcar rubia ideal para culpa y actividades cotidianas. Incluye características como dolor y sunt.,Alimentos,103.8,146.58,34,kg,alimentos.jpg,Suministros Bartolomé S.Com.
Fideos de trigo - Saepe 428,Fideos de trigo ideal para omnis y actividades cotidianas. Incluye características como quia y explicabo.,Alimentos,297.95,446.51,22,kg,alimentos.jpg,Familia Lasa S.L.
Salsa de tomate - Laboriosam 671,Salsa de tomate ideal para culpa y actividades cotidianas. Incluye características como impedit y nostrum.,Alimentos,63.05,165.27,64,kg,alimentos.jpg,Talleres Acero S.L.N.E
Harina integral - Fuga 714,Harina integral ideal para provident y actividades cotidianas. Incluye características como dolorum y quae.,Alimentos,201.9,272.11,24,kg,alimentos.jpg,Inversiones AKTI S.L.N.E
Vinagre de manzana - Quia 295,Vinagre de manzana ideal para a y actividades cotidianas. Incluye características como sapiente y iste.,Alimentos,222.23,289.24,75,kg,alimentos.jpg,Alejo Caparrós Parejo S.L.N.E
Chocolate orgánico - Inventore 317,Chocolate orgánico ideal para excepturi y actividades cotidianas. Incluye características como aspernatur y excepturi.,Alimentos,266.48,305.03,75,kg,alimentos.jpg,Compañía ZDNN S.A.
Avena instantánea - Pariatur 170,Avena instantánea ideal para quo y actividades cotidianas. Incluye características como doloremque y fuga.,Alimentos,141.95,229.39,19,kg,alimentos.jpg,Galán y Font S.L.
Miel de abeja - Natus 486,Miel de abeja ideal para velit y actividades cotidianas. Incluye características como totam y minima.,Alimentos,257.74,361.82,85,kg,alimentos.jpg,Trinidad Villar Sanmiguel S.A.
Camisa de algodón - Et 224,Camisa de algodón ideal para at y actividades cotidianas. Incluye características como labore y adipisci.,Ropa,204.98,288.76,16,pz,ropa.jpg,Hotel Avanzadas S.A.
Pantalón jeans - Suscipit 880,Pantalón jeans ideal para assumenda y actividades cotidianas. Incluye características como eum y atque.,Ropa,272.53,329.48,70,pz,ropa.jpg,Hermanos Belda S.Coop.
Chaqueta impermeable - Hic 479,Chaqueta impermeable ideal para velit y actividades cotidianas. Incluye características como placeat y error.,Ropa,223.57,303.92,66,pz,ropa.jpg,Tecnologías Herrero S.L.
Vestido de verano - Nemo 927,Vestido de verano ideal para eaque y actividades cotidianas. Incluye características como consequatur y consequatur.,Ropa,205.35,248.9,31,pz,ropa.jpg,Pablo y Roda S.Com.
Sudadera deportiva - Asperiores 943,Sudadera deportiva ideal para veniam y actividades cotidianas. Incluye características como ullam y tenetur.,Ropa,31.75,105.7,10,pz,ropa.jpg,Comercial LPF S.A.
Falda casual - Quidem 192,Falda casual ideal para occaecati y actividades cotidianas. Incluye características como deserunt y nisi.,Ropa,84.99,173.79,43,pz,ropa.jpg,Inmobiliaria Sevillano S.C.P
